gene,log2fc,p_value,mean_active,mean_latent,p_adj,significant
ID3,-1.351080081165768,3.7587483453556426e-34,224.59470524742267,572.9479167469879,8.954466183140747e-30,True
TBC1D10C,-0.6481069417657056,1.112358700857044e-32,2926.0103711340207,4585.381674698795,1.0049919753584495e-28,True
FAIM3,-1.0248008266688589,1.5082105059728165e-32,3393.1717422680413,6904.013469879518,1.0049919753584495e-28,True
NDRG2,-1.032815185353123,1.6874314324114504e-32,98.93222670103093,202.41660421686743,1.0049919753584495e-28,True
PITPNC1,-0.7091300548807479,5.668291912331611e-32,767.546769072165,1254.7992927710843,2.7007143645495195e-28,True
FAM159A,-1.2498852296548875,6.645885922010074e-29,150.59457154639173,358.1477791566265,2.6387490053341e-25,True
ABLIM1,-0.9652538484093214,1.7385422077510033e-28,1788.2464412371132,3491.384915662651,5.916755859321735e-25,True
CXCR5,-1.4160223661417488,1.0690093828306849e-27,384.06319381443296,1024.8679120481927,3.1833763158969258e-24,True
DUSP3,1.012063156741923,1.371410404637969e-27,6147.327422680412,3048.070289156627,3.6301233410767046e-24,True
DGKA,-0.8884985183247557,1.7404461581437917e-27,1029.3274061855668,1905.5407530120483,4.146264882545955e-24,True
VEGFB,-0.7151769006897154,3.665851886724077e-27,2373.69993814433,3896.866409638554,7.939235408857061e-24,True
TNFRSF25,-1.0251452838484587,5.2028603728678055e-27,863.9419969072167,1758.2639277108435,9.579074034792296e-24,True
FCGR1A,2.739356223135051,5.2272158188431284e-27,3588.7352742268044,537.4190185542168,9.579074034792296e-24,True
FAM102A,-0.9745727134076378,7.053391102994125e-27,713.2776927835051,1401.632831325301,1.2002352589044931e-23,True
STAG3L2,-0.778037689924143,9.21857149248185e-27,2116.850050515464,3629.967843373494,1.4226886064989037e-23,True
FCGR1C,2.537566776135685,9.55505927212461e-27,2646.0139340206188,455.7308319277109,1.4226886064989037e-23,True
CRY2,-0.520189276018497,1.2273436816131245e-26,485.3871237113402,696.1147349397589,1.6243893626149703e-23,True
ZNF296,-0.6778411152705374,1.1886045443254975e-26,677.141250515464,1083.2526975903613,1.6243893626149703e-23,True
DBP,-0.9582336758297645,1.5247696930663452e-26,154.55908154639175,300.29742457831327,1.9118204419957654e-23,True
FLVCR2,0.9176121623872371,2.1720186238599e-26,1340.138562886598,709.4485722891567,2.58719998381072e-23,True
MPRIP,-0.6658816106816556,5.665273090419267e-26,422.3309886597938,670.0439457831326,6.426847658717057e-23,True
ARHGEF18,-0.5281416853624425,7.58272853492016e-26,5260.688402061856,7586.283493975904,7.610243786521587e-23,True
UBASH3A,-0.9816449688208355,7.666786335747726e-26,385.65404494845365,761.5571002409639,7.610243786521587e-23,True
