"","logFC","AveExpr","t","P.Value","adj.P.Val","B","GeneSymbol"
"ILMN_2391051",2.61291229224963,9.17167625785365,20.3146573156202,7.33210518333369e-49,3.22986565431032e-44,100.156700889835,"FCGR1B"
"ILMN_2176063",2.74401215368876,10.3238805433468,19.788575848698,2.02263406779045e-47,4.45495266601185e-43,96.9099438033554,"FCGR1A"
"ILMN_2261600",2.59409925927115,10.969813690104,19.3946838453622,2.4765334034498e-46,3.63645909851224e-42,94.4566117985647,"FCGR1B"
"ILMN_3247506",2.34803587930603,10.0803723400283,18.8407927007874,8.64415761880028e-45,9.51959468164428e-41,90.9751483961176,"FCGR1C"
"ILMN_1799848",2.61550654360839,8.94206504083835,16.9523694960817,2.01016265888183e-39,1.67233589273786e-35,78.8478384504199,"ANKRD22"
"ILMN_1690241",2.17178371621599,7.96951306984098,16.9335324506368,2.2778178376035e-39,1.67233589273786e-35,78.7250305080351,"BATF2"
"ILMN_2148785",1.8223861186169,12.0624806760732,16.6392313075078,1.61222815054894e-38,1.01457517514045e-34,76.8021012108427,"GBP1"
"ILMN_1654389",1.8770267515814,8.08174643559302,16.596126141318,2.14871049792759e-38,1.1831605768026e-34,76.5198029274686,"LOC728744"
"ILMN_1747744",1.31026039648656,9.28381006859379,16.5594392565527,2.74414356161663e-38,1.23712114197147e-34,76.2794097920459,"LHFPL2"
"ILMN_2114568",1.77307855352099,11.9724981302148,16.5559694110711,2.80838378690941e-38,1.23712114197147e-34,76.256667324452,"GBP5"
"ILMN_1681301",1.83063863372875,9.8221743338102,16.0583058873076,7.836590304918e-37,3.13826945019948e-33,72.9843377551655,"AIM2"
"ILMN_1701114",1.78865398065005,10.7440401098633,15.6572777698733,1.16105253145558e-35,4.2621270885958e-32,70.3333233026199,"GBP1"
"ILMN_2132599",2.10488803312438,9.78250706526088,15.5962847018415,1.75114265459401e-35,5.93381423673235e-32,69.9291166777024,"ANKRD22"
"ILMN_1797522",0.962127252280016,12.0842937852628,15.5591972826666,2.24849587216232e-35,7.07489226175873e-32,69.6832113792895,"DUSP3"
"ILMN_2326509",0.942425898989264,11.3722577740787,15.0706599539558,6.10036587804833e-34,1.79151478195938e-30,66.435868007889,"CASP1"
"ILMN_2361603",-0.698941654963364,7.70971390440147,-14.9869702138205,1.07518864248289e-33,2.96019593062585e-30,65.8781786092113,"NDRG2"
"ILMN_2309180",1.22619844853221,9.51732339874235,14.9223304390475,1.66606001041859e-33,4.31715350111466e-30,65.447180090355,"SMARCD3"
"ILMN_2326512",1.00577305914208,11.3665520380434,14.8354210343315,3.00304048746433e-33,7.34927425073839e-30,64.8673596270667,"CASP1"
